date,newCasesBySpecimenDate,newCasesByPublishDate
2020-08-07,2,0
2020-08-08,0,0
2020-08-09,1,1
2020-08-10,1,1
2020-08-11,1,1
2020-08-12,1,1
2020-08-13,0,2
2020-08-14,0,0
2020-08-15,0,1
2020-08-16,1,0
2020-08-17,0,0
2020-08-18,1,0
2020-08-19,1,1
2020-08-20,1,1
2020-08-21,0,0
2020-08-22,0,0
2020-08-23,0,0
2020-08-24,0,1
2020-08-25,1,0
2020-08-26,0,0
2020-08-27,1,1
2020-08-28,1,0
2020-08-29,1,1
2020-08-30,2,0
2020-08-31,3,1
2020-09-01,1,3
2020-09-02,2,2
2020-09-03,4,2
2020-09-04,0,1
2020-09-05,1,2
2020-09-06,2,1
2020-09-07,7,2
2020-09-08,6,2
2020-09-09,7,2
2020-09-10,6,4
2020-09-11,6,1
2020-09-12,2,8
2020-09-13,2,2
2020-09-14,7,11
2020-09-15,2,6
2020-09-16,5,4
2020-09-17,5,5
2020-09-18,7,7
2020-09-19,8,7
2020-09-20,4,2
2020-09-21,9,3
2020-09-22,10,5
2020-09-23,5,5
2020-09-24,6,7
2020-09-25,12,9
2020-09-26,8,10
2020-09-27,7,8
2020-09-28,15,9
2020-09-29,12,6
2020-09-30,11,11
2020-10-01,12,16
2020-10-02,12,18
2020-10-03,11,11
2020-10-04,9,13
2020-10-05,12,4
2020-10-06,39,10
2020-10-07,26,10
2020-10-08,28,15
2020-10-09,27,30
2020-10-10,18,28
2020-10-11,20,18
2020-10-12,28,24
2020-10-13,27,29
2020-10-14,19,30
2020-10-15,11,20
2020-10-16,23,21
2020-10-17,14,20
2020-10-18,12,15
2020-10-19,25,22
2020-10-20,12,28
2020-10-21,28,18
2020-10-22,18,13
2020-10-23,12,6
2020-10-24,13,15
2020-10-25,10,21
2020-10-26,27,22
2020-10-27,26,16
2020-10-28,21,21
2020-10-29,17,32
2020-10-30,15,16
2020-10-31,12,25
2020-11-01,11,8
2020-11-02,16,19
2020-11-03,11,16
2020-11-04,18,5
2020-11-05,17,14
2020-11-06,16,14
2020-11-07,7,12
2020-11-08,7,21
2020-11-09,8,9
2020-11-10,13,9
2020-11-11,9,10
2020-11-12,9,11
2020-11-13,3,12
2020-11-14,8,7
2020-11-15,5,10
2020-11-16,6,9
2020-11-17,13,0
2020-11-18,5,11
2020-11-19,4,6
2020-11-20,2,13
2020-11-21,0,6
2020-11-22,4,0
2020-11-23,6,1
2020-11-24,3,1
2020-11-25,3,7
2020-11-26,5,4
2020-11-27,11,3
2020-11-28,3,3
2020-11-29,0,11
2020-11-30,0,7
